# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['QA1_questionCorrect==QA1_questionCorrect', 'avgLevelTime <= 360'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (18284, 1073)
# Query: QA1_questionCorrect==QA1_questionCorrect, output_shape: (5980, 1073)
# Query: avgLevelTime <= 360, output_shape: (5880, 1073)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['completed', 'totalLevelTime']
# *arg* lvlrange = range(0, 35)
# *arg* finalfeats = ['sum_lvl_0_to_34_completed', 'sum_lvl_0_to_34_totalLevelTime', 'sum_random_complete_count']
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=2, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=3, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessionID,sum_lvl_0_to_34_completed,sum_lvl_0_to_34_totalLevelTime,sum_random_complete_count,label
19110109585920310,15.0,1869.0,5.0,0
19110109590095790,22.0,989.0,11.0,0
19110109590837200,9.0,391.0,11.0,2
19110109591422812,29.0,1806.0,0.0,0
19110109591729410,24.0,1066.0,15.0,2
19110109593901652,13.0,1180.0,1.0,0
19110109594482244,21.0,1593.0,1.0,0
19110109594936124,9.0,1544.0,16.0,2
19110109595275296,19.0,1602.0,0.0,0
19110110002385320,25.0,1288.0,0.0,0
19110110003652550,11.0,669.0,6.0,1
19110110005459216,15.0,1177.0,2.0,0
19110110011543364,9.0,205.0,0.0,1
19110110012127016,12.0,724.0,11.0,2
19110110013014824,14.0,1146.0,0.0,0
19110110013675390,15.0,1851.0,0.0,0
19110110013746700,10.0,831.0,2.0,1
19110110015614930,10.0,368.0,5.0,1
19110110023851972,15.0,1965.0,8.0,0
19110110023987680,14.0,970.0,0.0,1
19110110025424144,9.0,1238.0,17.0,2
19110110025662216,14.0,1038.0,16.0,2
19110110030932430,10.0,835.0,13.0,2
19110110030957772,10.0,535.0,2.0,1
19110110034467310,12.0,1033.0,1.0,1
19110110041988490,10.0,762.0,24.0,2
19110110065254870,14.0,647.0,0.0,1
19110110071546948,10.0,865.0,3.0,1
19110110085603670,10.0,271.0,9.0,1
19110110100998450,10.0,284.0,0.0,1
19110110104867110,10.0,309.0,3.0,1
19110110114626364,9.0,214.0,1.0,1
19110110123856590,10.0,657.0,3.0,1
19110110175097704,23.0,499.0,0.0,1
19110110190900336,33.0,1202.0,27.0,2
19110110191859570,9.0,291.0,0.0,1
19110110193061100,9.0,376.0,6.0,1
19110110211139560,8.0,178.0,0.0,1
19110110231176750,10.0,207.0,18.0,2
19110110354669604,14.0,2105.0,0.0,0
19110110373355970,20.0,592.0,12.0,2
19110110381349560,15.0,313.0,1.0,1
19110110401946252,9.0,255.0,6.0,1
19110110403697264,12.0,398.0,10.0,1
19110110405595428,11.0,393.0,3.0,1
19110110405727630,14.0,437.0,0.0,1
19110110450535620,11.0,439.0,2.0,1
19110110463097024,14.0,299.0,0.0,1
19110110463344070,18.0,1280.0,1.0,0
19110110481994236,10.0,470.0,1.0,1
19110110490581370,10.0,374.0,1.0,1
19110110492280624,9.0,391.0,5.0,1
19110110504850096,9.0,346.0,2.0,1
19110110510645820,25.0,639.0,5.0,0
19110110520363376,14.0,1264.0,0.0,0
19110110520992970,10.0,559.0,0.0,1
19110110521978400,10.0,704.0,2.0,1
19110110524802564,9.0,607.0,4.0,1
19110110531663200,10.0,1184.0,12.0,2
19110110531937852,14.0,1269.0,0.0,0
19110110532663570,12.0,1237.0,0.0,0
19110110533205416,14.0,383.0,4.0,1
19110110533778350,10.0,254.0,13.0,2
19110110534392788,9.0,516.0,0.0,1
19110110535243584,9.0,1126.0,0.0,1
19110110540456190,9.0,691.0,0.0,1
19110110550207050,10.0,756.0,5.0,1
19110110551210470,9.0,244.0,1.0,1
19110110551886092,10.0,383.0,1.0,1
19110110590996376,9.0,160.0,2.0,1
19110110593491896,14.0,458.0,0.0,1
19110110595831450,9.0,379.0,0.0,1
19110111001504108,14.0,489.0,0.0,1
19110111003620784,9.0,253.0,0.0,1
19110111020479652,10.0,281.0,1.0,1
19110111022717030,9.0,274.0,0.0,1
19110111024942720,15.0,533.0,6.0,1
19110111025575010,9.0,317.0,2.0,1
