# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['QA3_questionCorrect==QA3_questionCorrect'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (18284, 1073)
# Query: QA3_questionCorrect==QA3_questionCorrect, output_shape: (1348, 1073)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['amplitudeGoodMoveCount', 'closenessSlope', 'offsetGoodMoveCount', 'succeedCount', 'wavelengthGoodMoveCount']
# *arg* lvlrange = range(0, 17)
# *arg* finalfeats = ['sum_lvl_0_to_16_amplitudeGoodMoveCount', 'sum_lvl_0_to_16_closenessSlope', 'sum_lvl_0_to_16_offsetGoodMoveCount', 'sum_lvl_0_to_16_succeedCount', 'sum_lvl_0_to_16_wavelengthGoodMoveCount']
# Original Num Rows: 1348
# *arg* zthresh = 3
# Removed points with abs(ZScore) >= 3. Reduced num rows: 1254

sessionID,sum_lvl_0_to_16_amplitudeGoodMoveCount,sum_lvl_0_to_16_closenessSlope,sum_lvl_0_to_16_offsetGoodMoveCount,sum_lvl_0_to_16_succeedCount,sum_lvl_0_to_16_wavelengthGoodMoveCount
19110208215834770,30.0,-326.6183860915111,28.0,58.0,23.0
19110208253264836,26.0,-44.39513379602966,28.0,23.0,29.0
19110208314041616,13.0,-428.7243724869333,23.0,48.0,13.0
19110208404213750,10.0,-730.0449028996646,9.0,29.0,5.0
19110208451491310,14.0,-447.4827935275779,17.0,31.0,15.0
19110208533844290,20.0,-703.3867087473423,41.0,36.0,22.0
19110209035699750,26.0,-977.7735504615144,21.0,36.0,21.0
19110209082388776,36.0,-987.0131297835896,33.0,24.0,26.0
19110209101433500,32.0,-749.5367835409444,27.0,38.0,36.0
19110209122333596,13.0,-425.51697967974746,15.0,28.0,10.0
19110209134659480,14.0,-541.2126631497699,24.0,57.0,17.0
19110209294548796,14.0,-739.3860722896792,13.0,29.0,12.0
19110209355125390,34.0,-153.13375845937364,56.0,102.0,51.0
19110209482834064,29.0,-477.51091200939703,73.0,31.0,20.0
19110209483915184,23.0,-542.5131068939869,46.0,32.0,22.0
19110209562498690,22.0,-587.2080240905534,23.0,39.0,21.0
19110209581402550,12.0,-690.854046971031,18.0,29.0,11.0
19110210051938410,27.0,-498.21170877295066,41.0,72.0,26.0
19110210055253460,31.0,-811.086889989147,43.0,99.0,38.0
19110210061149460,31.0,-989.7083777548564,39.0,56.0,35.0
19110210065911864,27.0,-402.9349976731215,26.0,84.0,36.0
19110210090554770,39.0,-431.1625486787273,38.0,93.0,37.0
19110210104614844,26.0,-377.4810816203689,38.0,49.0,33.0
19110210111600744,24.0,-332.48281953956365,31.0,53.0,23.0
19110210120720588,28.0,-184.59106752938422,26.0,36.0,22.0
19110210150144956,27.0,-490.36760425847723,23.0,35.0,23.0
19110210170294696,16.0,-1143.1185867179854,18.0,27.0,16.0
19110210331440270,20.0,-136.194437362131,21.0,56.0,15.0
19110210475527170,18.0,-279.7240735658003,17.0,48.0,18.0
19110210563913276,17.0,-635.2168718411917,23.0,45.0,22.0
19110210572694276,15.0,-507.0161884833252,37.0,36.0,26.0
19110210573713064,22.0,-1015.1796078555284,42.0,34.0,32.0
19110210574995956,31.0,-310.66899110247874,22.0,42.0,24.0
19110210581101024,13.0,-502.4493311115397,11.0,38.0,10.0
19110210583388424,26.0,-786.9801980375954,32.0,120.0,41.0
19110210594006976,28.0,-416.8285594840254,38.0,49.0,31.0
19110211012042376,32.0,-433.3702972603402,48.0,53.0,52.0
19110211013608190,28.0,-569.8842591027128,30.0,76.0,39.0
19110211020226120,35.0,-231.6333375997275,94.0,41.0,46.0
19110211023806450,36.0,-271.1439804883761,52.0,92.0,36.0
19110211032611530,53.0,-477.11060876519036,51.0,46.0,30.0
19110211044614036,23.0,-959.4568459510008,30.0,35.0,24.0
19110211045587876,21.0,-1199.1782439795331,34.0,45.0,26.0
19110211063172868,35.0,-496.063892855254,43.0,35.0,36.0
19110211104746856,23.0,-796.1698369172399,22.0,31.0,23.0
19110211183568884,37.0,-784.2424883097727,30.0,54.0,21.0
19110211370413944,16.0,-709.5351525397266,14.0,32.0,12.0
19110212005044816,33.0,-357.9179175659283,29.0,38.0,25.0
19110212015959196,18.0,-697.8442532115691,25.0,31.0,19.0
19110212111242628,89.0,-595.1460926307595,72.0,25.0,44.0
19110212134888350,15.0,-284.55769137739276,24.0,41.0,17.0
19110212140753156,12.0,-474.880743590591,17.0,32.0,25.0
19110212150362050,27.0,-583.213129028526,25.0,37.0,15.0
19110212191081316,16.0,-657.9772025942098,16.0,28.0,12.0
19110212193546428,13.0,-345.3650851136849,13.0,32.0,8.0
19110212201176910,36.0,-618.287007039351,31.0,54.0,17.0
19110212202525650,25.0,-859.5183104525082,28.0,46.0,45.0
19110212210693908,21.0,-457.89467207917386,18.0,48.0,16.0
19110212212414684,39.0,-263.43274778107997,52.0,65.0,48.0
19110212212821508,16.0,-733.6975497628106,36.0,55.0,26.0
19110212220251650,19.0,-441.51680462898327,50.0,33.0,46.0
19110212221267164,28.0,-275.5153417813216,34.0,38.0,28.0
19110212223415188,22.0,-750.6733685315559,26.0,71.0,22.0
19110212231794800,28.0,-555.2893657406162,27.0,49.0,25.0
19110212262015390,21.0,-392.2405601492832,23.0,36.0,37.0
19110212291398548,41.0,-145.54851793923024,47.0,59.0,59.0
19110212311121884,19.0,-1147.196751910137,34.0,28.0,13.0
19110212313452820,37.0,-597.9766840813732,41.0,47.0,39.0
19110212543846536,45.0,-628.9119306864542,54.0,49.0,70.0
19110212552196160,30.0,-694.2739715712528,26.0,38.0,19.0
19110213032970090,19.0,-879.1048398747585,16.0,42.0,17.0
19110213105893976,13.0,-831.9492700089302,16.0,38.0,15.0
19110213153311644,25.0,-463.89985945507016,38.0,38.0,24.0
19110213160339450,25.0,-565.0098664289983,31.0,69.0,25.0
19110213160779156,37.0,-745.9722066349821,63.0,68.0,47.0
19110213164994150,44.0,-791.0116429835432,55.0,48.0,49.0
19110213170262544,32.0,-660.7136014154976,54.0,85.0,48.0
19110213170567490,20.0,-221.34264875262969,24.0,43.0,27.0
19110213170956520,44.0,-698.9800644036383,53.0,79.0,55.0
19110213174711350,31.0,-369.80401289647193,33.0,56.0,21.0
19110213180689790,32.0,-498.1608171238206,28.0,44.0,17.0
19110213183332036,34.0,-415.42846022331446,29.0,64.0,45.0
19110213183610876,18.0,-544.041117520065,20.0,50.0,13.0
19110213184038496,21.0,-940.6112708200288,17.0,45.0,17.0
19110213185875740,12.0,-258.63305541253,19.0,28.0,8.0
19110213192785984,29.0,-922.3788384277553,43.0,64.0,29.0
19110213194362790,27.0,-190.36170984584874,24.0,99.0,29.0
19110213205083350,27.0,-269.13639460208856,21.0,46.0,19.0
19110213215943144,18.0,-683.7757795718004,21.0,56.0,23.0
19110213262652030,13.0,-684.7544833892092,15.0,44.0,10.0
19110213270042292,12.0,-647.4745413341184,15.0,34.0,6.0
19110213313530596,9.0,-972.8778616339708,15.0,34.0,8.0
19110213331710970,15.0,-791.9904681187535,18.0,35.0,13.0
19110213345771900,24.0,-402.06555597772433,26.0,52.0,19.0
19110213353724496,20.0,-628.4372695722795,26.0,66.0,23.0
19110213372723770,14.0,-456.08479087432056,22.0,31.0,22.0
19110213374650456,17.0,-284.02210564991736,16.0,49.0,12.0
19110213402686970,22.0,-193.05248800235316,26.0,42.0,23.0
19110213422288736,43.0,-305.068112552433,53.0,73.0,46.0
19110213443918630,16.0,-494.39760526437385,15.0,26.0,11.0
19110214052997740,11.0,-700.7916911033885,22.0,57.0,11.0
19110214375437980,32.0,-316.5826839323275,24.0,27.0,13.0
19110214380178624,11.0,-890.4928817480851,16.0,26.0,6.0
19110214380215996,16.0,-361.69713326930065,16.0,21.0,16.0
19110215032719012,14.0,-1161.9550949817415,20.0,27.0,10.0
19110215064145424,40.0,-719.0157119865105,26.0,29.0,35.0
19110215071264668,16.0,-923.4469741205656,20.0,33.0,15.0
19110216013050316,37.0,-199.20068955089164,26.0,61.0,37.0
19110216111057250,14.0,-1120.1321515440304,20.0,45.0,12.0
19110217112920324,19.0,-365.2369329291981,33.0,27.0,23.0
19110218112223784,20.0,-749.8652156051785,26.0,34.0,16.0
19110218312565332,30.0,-977.7756219031314,27.0,68.0,31.0
19110218353653440,91.0,-354.6752928440542,144.0,27.0,20.0
19110218520366220,15.0,-998.1543042452879,16.0,25.0,10.0
19110219084030416,13.0,-643.7756456546193,18.0,32.0,10.0
19110307503101024,39.0,-393.023910615124,24.0,23.0,73.0
19110307565705350,16.0,-690.1910359856729,18.0,26.0,30.0
19110307571268468,14.0,-377.1974457123325,31.0,46.0,15.0
19110308000939136,37.0,-534.566733146459,47.0,100.0,72.0
19110308013856456,52.0,-717.2445921114975,61.0,119.0,64.0
19110308044899896,49.0,-478.4497225452841,96.0,48.0,58.0
19110308101961384,14.0,-548.5755874862494,36.0,25.0,11.0
19110308121662880,24.0,-389.03099491522494,26.0,25.0,28.0
19110308161521384,23.0,-873.3785749908134,31.0,59.0,31.0
19110308162574588,22.0,-250.80152953413236,15.0,36.0,20.0
19110308215373280,27.0,-245.41345581888157,25.0,94.0,26.0
19110308225185508,46.0,-830.7533159567272,25.0,39.0,36.0
19110308305683892,14.0,-492.9215120949864,18.0,36.0,9.0
19110308313937170,17.0,-868.7256253481478,28.0,46.0,12.0
19110308330257456,21.0,-541.1080106593453,20.0,38.0,12.0
19110308400942930,22.0,-319.00047596055674,18.0,26.0,13.0
19110308403826530,11.0,-717.45938016363,14.0,27.0,7.0
19110308474053070,12.0,-1007.904562884338,17.0,32.0,9.0
19110308552533572,30.0,-692.5621755188785,36.0,60.0,25.0
19110308555020024,18.0,-1400.55541949295,33.0,45.0,24.0
19110309002513430,31.0,-481.54537560060186,59.0,31.0,108.0
19110309031681250,29.0,-620.3312565470818,22.0,50.0,22.0
19110309072950720,17.0,-993.8330452458285,19.0,34.0,12.0
19110309115235332,24.0,-609.9811374522676,41.0,53.0,17.0
19110309234912296,20.0,-372.08516960314284,27.0,59.0,42.0
19110309301125930,24.0,-804.4532680827891,31.0,77.0,23.0
19110309311736676,13.0,-821.5459072718421,13.0,41.0,9.0
19110309410234216,18.0,-521.5125983552643,33.0,44.0,23.0
19110309452671948,14.0,-433.6305474246282,25.0,36.0,13.0
19110309464290736,30.0,-489.2280207962892,25.0,42.0,19.0
19110309555647104,74.0,-131.58959107851877,50.0,30.0,59.0
19110309555972556,26.0,-160.34557433274767,33.0,30.0,33.0
19110309564298616,17.0,-816.1605668854627,80.0,24.0,60.0
19110309574155890,34.0,-87.39952658281712,33.0,39.0,32.0
19110310041267572,20.0,-769.9714655345379,27.0,25.0,24.0
19110310042473620,17.0,-536.5256148142562,31.0,50.0,67.0
19110310045744544,23.0,-712.9523635439209,26.0,41.0,29.0
19110310093282604,43.0,-419.13962178074127,56.0,64.0,69.0
19110310243934868,21.0,-451.5690585271973,35.0,26.0,27.0
19110310335225530,18.0,-728.9366201742146,36.0,24.0,15.0
19110310381348132,16.0,-54.30093679871845,132.0,25.0,19.0
19110310474965104,23.0,-286.44245061025305,26.0,45.0,26.0
19110310561719510,32.0,-642.9498057474862,29.0,74.0,26.0
19110310571950616,21.0,-367.74725391421356,38.0,38.0,33.0
19110311030778188,23.0,-392.1693976660723,30.0,27.0,22.0
19110311110930852,33.0,-542.7080115027704,46.0,50.0,32.0
19110311133933170,35.0,-450.8761770738361,46.0,48.0,55.0
19110311145903052,49.0,-138.98776535335116,33.0,31.0,43.0
19110311152090350,19.0,-584.8318088660942,73.0,78.0,41.0
19110311274119190,17.0,-1176.1955633196942,18.0,32.0,12.0
19110312001984668,20.0,-889.7737870488515,15.0,28.0,26.0
19110312002716212,14.0,-691.4411116703102,17.0,33.0,13.0
19110312061627870,18.0,-107.97206624589865,25.0,46.0,16.0
19110312132558252,13.0,-868.3650588138539,19.0,33.0,9.0
19110312214419620,112.0,-1107.9098018369707,60.0,66.0,140.0
19110312350796536,15.0,-193.45087995978068,15.0,46.0,33.0
19110312360460176,22.0,-682.4664038843305,29.0,63.0,26.0
19110312431314788,14.0,-327.92516214605445,17.0,34.0,11.0
19110312485139576,55.0,-692.9719083734698,17.0,55.0,17.0
19110312591854224,27.0,-1000.8965916737824,33.0,45.0,21.0
19110313003262172,19.0,-430.6994412021868,23.0,32.0,19.0
19110313140106600,27.0,-705.2999691038361,26.0,36.0,27.0
19110313141440216,31.0,-643.9218347664211,37.0,48.0,45.0
19110313143676040,42.0,-615.072553459416,24.0,49.0,22.0
19110313151181876,39.0,-200.973325095223,36.0,50.0,40.0
19110313155519976,25.0,-106.0091538832853,39.0,48.0,26.0
19110313161342356,19.0,-385.70079010035744,23.0,28.0,19.0
19110313163682684,21.0,-459.100658063698,27.0,41.0,24.0
19110313342944748,15.0,-674.4945835447227,19.0,22.0,16.0
19110313370062130,69.0,-369.8292531046774,87.0,38.0,69.0
19110313382399440,16.0,-600.2650491223766,15.0,58.0,16.0
19110313391351068,16.0,-549.7883548041284,17.0,36.0,9.0
19110313392360344,19.0,-257.9667427130565,18.0,35.0,9.0
19110313464794736,15.0,-293.3685994729395,18.0,40.0,11.0
19110314084041732,19.0,-640.0097279272275,25.0,54.0,20.0
19110314191202570,39.0,-489.25075093083035,43.0,93.0,50.0
19110314214461464,37.0,-587.3444935974079,33.0,39.0,28.0
19110314573891290,16.0,-113.30350016434518,16.0,25.0,20.0
19110315032133950,16.0,-293.8241304815951,22.0,30.0,15.0
19110315421566970,17.0,-512.2597682313863,25.0,64.0,16.0
19110316122469840,26.0,-447.05172368553986,23.0,36.0,23.0
19110316283162830,18.0,-1410.792963715612,24.0,32.0,15.0
19110317553522950,13.0,-825.7069758547914,18.0,45.0,8.0
19110318464219810,26.0,-675.4337480096818,24.0,27.0,22.0
19110318552389224,13.0,-679.6371490084657,13.0,25.0,15.0
19110319224313450,15.0,-647.3677016528736,18.0,36.0,12.0
19110319594713772,15.0,-363.4736611996595,19.0,42.0,14.0
19110320203630570,27.0,-1157.9039929344958,30.0,75.0,26.0
19110320443266640,31.0,-1196.569902318353,27.0,46.0,28.0
19110320451415950,14.0,-806.9192697714261,17.0,44.0,14.0
19110407415718564,27.0,-916.9347552969574,36.0,67.0,31.0
19110407534942040,18.0,-381.81286831406334,19.0,36.0,19.0
19110408093778650,14.0,-186.14855669620343,20.0,25.0,19.0
19110408124678564,18.0,-522.8280067996362,18.0,54.0,14.0
19110408131350656,15.0,-648.810827705846,17.0,30.0,15.0
19110408174570656,25.0,-728.7879522281247,26.0,63.0,31.0
19110408180122840,29.0,-492.5389302037536,42.0,56.0,29.0
19110408183612820,35.0,-484.3547903705331,32.0,63.0,40.0
19110408190501380,10.0,-1038.6510469293116,13.0,19.0,7.0
19110408191918224,26.0,-110.1529315820601,17.0,37.0,20.0
19110408192537296,23.0,-772.1319090401593,21.0,29.0,13.0
19110408262950108,13.0,-293.9052426827639,17.0,35.0,8.0
19110408302082308,40.0,-565.6637071480989,48.0,55.0,40.0
19110408375938004,11.0,-1141.243445875485,20.0,49.0,13.0
19110408381747896,13.0,-879.9398305921658,20.0,41.0,10.0
19110408383431896,14.0,-581.3206390267883,20.0,50.0,13.0
19110408384812716,33.0,-426.77167487357735,38.0,83.0,23.0
19110408442642696,14.0,-728.7916828394527,15.0,28.0,7.0
19110408470786660,54.0,-849.7601746161388,57.0,90.0,49.0
19110408472125690,34.0,-212.7146368370683,30.0,35.0,26.0
19110408480063950,49.0,-449.3862591407167,51.0,73.0,49.0
19110408524694490,14.0,-756.7046479806409,19.0,32.0,13.0
19110408545338320,60.0,-387.7608116800846,94.0,55.0,95.0
19110408564719304,13.0,-403.967396836597,22.0,36.0,9.0
19110409001612660,13.0,-159.46856697693374,26.0,26.0,17.0
19110409030374012,19.0,-658.827185244296,18.0,35.0,9.0
19110409083990268,16.0,-482.9500195833065,26.0,41.0,13.0
19110409101027300,15.0,-868.0259962107496,18.0,45.0,10.0
19110409175204324,22.0,-561.2305703668598,19.0,40.0,17.0
19110409181997484,9.0,-450.06944053790914,19.0,33.0,11.0
19110409200766276,29.0,-271.4755088021123,31.0,78.0,26.0
19110409211807296,11.0,-340.01917000190764,14.0,32.0,6.0
19110409213825424,14.0,-536.3637317795765,18.0,27.0,13.0
19110409375982420,23.0,-244.34370368480123,39.0,56.0,22.0
