# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/LAKELAND/LAKELAND_20191201_to_20191231_de09c18_proc.zip
# Import from fData/Raw Log Data/LAKELAND_20200101_to_20200131_a9720c1_proc.zip
# *arg* filter_args = {'query_list': ['debug == 0', 'sess_ActiveEventCount >= 10', 'sessDuration >= 300', '_continue == 0', 'sessDuration <= 2700'], 'one_query': False, 'fillna': 0, 'verbose': True}
# Query: Intial Shape, output_shape: (32227, 1647)
# Query: debug == 0, output_shape: (32221, 1647)
# Query: sess_ActiveEventCount >= 10, output_shape: (26934, 1647)
# Query: sessDuration >= 300, output_shape: (16109, 1647)
# Query: _continue == 0, output_shape: (10591, 1647)
# Query: sessDuration <= 2700, output_shape: (10164, 1647)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False, 'avg_tile_hover_lvl_range': None}
# *arg* lvlfeats = []
# *arg* lvlrange = range(0, 1)
# *arg* finalfeats = ['count_bloom_achs', 'count_farm_achs', 'count_money_achs', 'count_pop_achs', 'sessDuration']
# Original Num Rows: 10164
# *arg* zthresh = None

sessID,num_play,count_bloom_achs,count_farm_achs,count_money_achs,count_pop_achs,sessDuration
19110108423663204,1,0,1,0,1,377.32300000000004
19110108451182080,1,0,2,1,1,410.30800000000005
19110108474929644,1,0,3,2,1,1033.491
19110108500204250,1,0,2,2,2,1464.984
19110108515725676,1,0,2,0,1,1018.86
19110108534350852,1,0,1,0,1,316.111
19110108545361680,3,0,1,0,1,490.784
19110108562189704,1,0,1,0,1,361.733
19110108573047050,1,0,2,0,1,473.276
19110108581623536,2,0,1,0,1,504.475
19110109025472376,1,0,2,2,1,1128.787
19110109050736264,1,1,2,2,1,1010.686
19110109053089136,1,0,2,2,1,949.946
19110109072017520,1,1,3,2,3,2287.45
19110109082622696,1,0,3,0,1,1647.6629999999998
19110109092662732,1,0,2,0,1,647.931
19110109094737356,1,0,1,0,1,404.45599999999996
19110109104987390,1,0,2,0,1,561.151
19110109124655990,2,0,3,1,1,1126.062
19110109160181536,2,0,4,2,3,1457.726
19110109173916380,1,0,1,0,1,888.059
19110109174162164,1,0,2,0,1,514.7909999999999
19110109174178976,1,0,1,1,1,956.904
19110109174704296,1,0,1,1,1,580.101
19110109185926370,1,0,3,1,1,870.535
19110109190699830,1,0,1,1,1,846.685
19110109191243500,1,1,1,2,1,1193.728
19110109192692036,1,0,1,0,1,808.9780000000001
19110109224921776,1,0,2,0,1,2111.5660000000003
19110109251591090,1,0,1,0,1,487.319
19110109251596030,1,0,1,0,1,372.699
19110109251927030,1,0,2,0,1,495.059
19110109252314292,3,0,3,0,1,323.763
19110109254360748,1,0,2,1,1,546.821
19110109260173684,1,0,1,0,1,318.66200000000003
19110109263239010,1,0,1,1,1,561.191
19110109293509096,1,3,4,2,4,1965.8529999999998
19110109322995024,1,0,1,0,1,744.403
19110109345204940,1,0,1,1,1,751.8989999999999
19110109370370560,1,0,1,0,1,322.555
19110109371041420,1,0,2,4,1,755.2539999999999
19110109401431840,1,0,1,0,1,442.358
19110109424032730,1,0,1,0,1,1561.6570000000002
19110109451719044,1,0,1,1,1,509.53
19110109455878320,1,0,1,1,1,563.883
19110109462976736,1,0,2,0,1,484.72900000000004
19110109475465484,1,0,1,1,1,695.987
19110109485497470,1,1,3,2,1,1820.231
19110109492797536,1,0,1,0,1,1022.436
19110109513241772,1,0,1,1,1,853.071
19110109532704830,1,1,1,1,1,695.914
19110109543191304,1,0,2,1,1,1143.656
19110109545528510,1,1,2,1,1,1294.271
19110109545528510,2,0,2,1,1,941.904
19110109564116164,1,0,3,0,1,545.668
19110109592428000,1,0,2,2,1,408.42800000000005
19110110022849430,1,0,1,2,1,1247.017
19110110040133268,1,0,1,2,1,533.846
19110110041791092,1,1,2,1,1,1138.984
19110110081819456,1,0,2,0,1,556.293
19110110081819456,2,1,2,1,1,1369.455
19110110110082250,1,0,2,1,1,681.127
19110110110730200,1,0,1,1,1,614.89
19110110113275564,1,0,1,0,1,392.506
19110110113275564,2,0,1,0,1,352.18300000000005
19110110113275564,3,0,2,0,1,410.014
19110110161160916,2,0,1,0,1,398.74
19110110162686430,1,0,1,0,1,484.20599999999996
19110110183565180,1,0,1,0,1,1226.989
19110110231437344,3,0,2,1,1,335.415
19110110235246136,1,0,2,2,1,923.685
