# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/CRYSTAL/CRYSTAL_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/CRYSTAL/CRYSTAL_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['lvl0_durationInSecs > 0', 'lvl1_durationInSecs > 0', 'lvl2_durationInSecs > 0', 'lvl3_durationInSecs > 0', 'lvl4_durationInSecs > 0', 'QA1_questionCorrect==QA1_questionCorrect', '((lvl0_finalScore != lvl0_finalScore) | (lvl0_completesCount != lvl0_completesCount) | ~((lvl0_finalScore == 0) & (lvl0_completesCount > 0)))', '((lvl1_finalScore != lvl1_finalScore) | (lvl1_completesCount != lvl1_completesCount) | ~((lvl1_finalScore == 0) & (lvl1_completesCount > 0)))', '((lvl2_finalScore != lvl2_finalScore) | (lvl2_completesCount != lvl2_completesCount) | ~((lvl2_finalScore == 0) & (lvl2_completesCount > 0)))', '((lvl3_finalScore != lvl3_finalScore) | (lvl3_completesCount != lvl3_completesCount) | ~((lvl3_finalScore == 0) & (lvl3_completesCount > 0)))', '((lvl4_finalScore != lvl4_finalScore) | (lvl4_completesCount != lvl4_completesCount) | ~((lvl4_finalScore == 0) & (lvl4_completesCount > 0)))'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (9513, 114)
# Query: lvl0_durationInSecs > 0, output_shape: (7039, 114)
# Query: lvl1_durationInSecs > 0, output_shape: (4616, 114)
# Query: lvl2_durationInSecs > 0, output_shape: (3563, 114)
# Query: lvl3_durationInSecs > 0, output_shape: (2681, 114)
# Query: lvl4_durationInSecs > 0, output_shape: (1682, 114)
# Query: QA1_questionCorrect==QA1_questionCorrect, output_shape: (1637, 114)
# Query: ((lvl0_finalScore != lvl0_finalScore) | (lvl0_completesCount != lvl0_completesCount) | ~((lvl0_finalScore == 0) & (lvl0_completesCount > 0))), output_shape: (1634, 114)
# Query: ((lvl1_finalScore != lvl1_finalScore) | (lvl1_completesCount != lvl1_completesCount) | ~((lvl1_finalScore == 0) & (lvl1_completesCount > 0))), output_shape: (1633, 114)
# Query: ((lvl2_finalScore != lvl2_finalScore) | (lvl2_completesCount != lvl2_completesCount) | ~((lvl2_finalScore == 0) & (lvl2_completesCount > 0))), output_shape: (1626, 114)
# Query: ((lvl3_finalScore != lvl3_finalScore) | (lvl3_completesCount != lvl3_completesCount) | ~((lvl3_finalScore == 0) & (lvl3_completesCount > 0))), output_shape: (1623, 114)
# Query: ((lvl4_finalScore != lvl4_finalScore) | (lvl4_completesCount != lvl4_completesCount) | ~((lvl4_finalScore == 0) & (lvl4_completesCount > 0))), output_shape: (1576, 114)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['finalScore']
# *arg* lvlrange = range(0, 5)
# *arg* finalfeats = ['QA0_questionCorrect', 'QA1_questionCorrect', 'sum_lvl_0_to_4_finalScore']

sessionID,QA0_questionCorrect,QA1_questionCorrect,sum_lvl_0_to_4_finalScore
19110206551126748,1.0,1.0,169.0
19110207302679812,1.0,1.0,230.0
19110207440017956,1.0,1.0,252.0
19110208013598910,1.0,1.0,132.0
19110208043960340,0.0,0.0,188.0
19110208052211064,1.0,0.0,155.0
19110208190483788,1.0,1.0,220.0
19110208265397790,1.0,1.0,284.0
19110208360350636,1.0,1.0,151.0
19110208573900332,1.0,1.0,204.0
19110209023736930,1.0,1.0,190.0
19110209031080028,0.0,0.0,245.0
19110209042070940,1.0,1.0,204.0
19110209110853196,1.0,1.0,252.0
19110209201296140,0.0,0.0,173.0
19110209202989360,1.0,1.0,205.0
19110209214913836,1.0,1.0,284.0
19110209344087050,1.0,1.0,201.0
19110209455277510,1.0,1.0,164.0
19110209483831844,0.0,1.0,184.0
19110209504507896,1.0,1.0,252.0
19110209590476804,0.0,0.0,229.0
19110210014801470,0.0,1.0,208.0
19110210023556224,0.0,0.0,206.0
19110210035965280,0.0,0.0,252.0
19110210052362756,1.0,1.0,114.0
19110210063429640,1.0,1.0,248.0
19110210113961360,0.0,0.0,180.0
19110210125311624,0.0,1.0,200.0
19110210130255164,1.0,1.0,180.0
19110210182678056,0.0,0.0,169.0
19110210224972490,1.0,1.0,252.0
19110210225153908,0.0,0.0,180.0
19110210262499200,0.0,0.0,184.0
19110210391937104,0.0,1.0,204.0
19110210404880056,0.0,0.0,156.0
19110210432333640,1.0,1.0,284.0
19110210480465704,1.0,1.0,252.0
19110210485655300,0.0,0.0,166.0
19110210490300296,1.0,1.0,247.0
19110210535561640,0.0,0.0,216.0
19110210542253012,0.0,0.0,218.0
19110210542963004,0.0,1.0,184.0
19110210551096948,0.0,0.0,221.0
19110210555582176,0.0,1.0,210.0
19110210564642910,0.0,1.0,182.0
19110210572277330,1.0,1.0,156.0
19110210582308040,1.0,1.0,248.0
19110210595333736,0.0,1.0,167.0
19110211011362868,0.0,0.0,178.0
19110211011622684,0.0,0.0,229.0
19110211033934610,1.0,0.0,166.0
19110211122710500,0.0,0.0,174.0
19110211153208636,0.0,0.0,185.0
19110211160360670,1.0,1.0,132.0
19110211184498800,1.0,1.0,258.0
19110211200704270,1.0,1.0,207.0
19110211230188016,0.0,1.0,180.0
19110211321778764,0.0,1.0,284.0
19110211433610572,0.0,0.0,230.0
19110212003006064,1.0,1.0,144.0
19110212003945900,1.0,0.0,245.0
19110212004555016,0.0,0.0,249.0
19110212050032850,0.0,0.0,204.0
19110212141550310,1.0,1.0,210.0
19110212145301770,0.0,1.0,161.0
19110212172915812,1.0,1.0,180.0
19110212205195300,1.0,0.0,252.0
19110212262712820,1.0,1.0,214.0
19110212392466600,1.0,1.0,284.0
19110212451728684,1.0,1.0,284.0
19110212520299708,1.0,0.0,146.0
19110212552986080,1.0,1.0,216.0
19110212575022570,0.0,1.0,161.0
19110213011400404,0.0,1.0,189.0
19110213091213700,1.0,1.0,231.0
19110213120377344,1.0,1.0,236.0
19110213264856770,0.0,1.0,204.0
19110213345204670,1.0,1.0,132.0
19110213382352210,1.0,1.0,284.0
19110213433679360,1.0,1.0,204.0
19110213435219332,0.0,1.0,170.0
19110213435628828,1.0,1.0,236.0
19110213443770492,1.0,1.0,284.0
19110213444661950,0.0,0.0,197.0
19110213445757236,1.0,1.0,156.0
19110213450618124,1.0,1.0,167.0
19110213452509364,0.0,1.0,182.0
19110213452738176,1.0,1.0,167.0
19110213455218910,0.0,1.0,164.0
19110213482769544,1.0,1.0,252.0
19110213484673024,1.0,1.0,218.0
19110213485460410,1.0,1.0,164.0
19110213510352904,1.0,1.0,180.0
19110213543912196,1.0,1.0,160.0
